"realSum","room_type","room_shared","room_private","person_capacity","host_is_superhost","multi","biz","cleanliness_rating","guest_satisfaction_overall","bedrooms","dist","metro_dist","attr_index","attr_index_norm","rest_index","rest_index_norm","lng","lat","city","day_type"
474.317499476342,"Entire home/apt","False","False",4,"False",0,1,10,91,1,1.11199647797648,0.630490946018992,526.469420244725,17.942926962148,915.587082768707,20.1548895790265,2.17556,41.39624,"Barcelona","Weekday"
169.897828566109,"Private room","False","True",2,"True",1,0,10,88,1,1.7518390160153,0.124017171764467,320.127525512106,10.9104623895664,794.277350312944,17.4844890147092,2.14906,41.38714,"Barcelona","Weekday"
161.984779016454,"Private room","False","True",4,"False",0,1,9,88,1,1.67049289698482,0.0803219762945513,344.073935952547,11.7265946795268,840.67361726289,18.5058136433043,2.15357,41.37859,"Barcelona","Weekday"
367.956804058929,"Entire home/apt","False","False",3,"False",0,1,10,91,1,1.47584651808222,0.0931068646481733,400.057449453939,13.6346031130896,946.589883919022,20.8373566491555,2.16839,41.3739,"Barcelona","Weekday"
196.895291735518,"Private room","False","True",3,"False",1,0,9,91,1,1.85545238756174,0.272486048844801,346.042244861269,11.793677821738,792.296039037284,17.4408742556829,2.15238,41.37699,"Barcelona","Weekday"
330.951660576722,"Entire home/apt","False","False",3,"False",0,1,9,100,2,2.56561144538374,0.701290447412875,391.087401929899,13.328889426061,525.513901719455,11.5681783423267,2.18197,41.40842,"Barcelona","Weekday"
141.271208136477,"Private room","False","True",3,"False",0,1,9,86,1,1.64830440590801,0.0894267254233427,342.596843051252,11.6762529711101,820.926567669549,18.0711203065855,2.15342,41.37912,"Barcelona","Weekday"
173.388879838015,"Private room","False","True",2,"False",0,0,9,96,1,1.47422786211104,0.590519404106601,448.405615820757,15.2823866015786,752.758876369787,16.5705396224968,2.18195,41.39691,"Barcelona","Weekday"
225.75464891661,"Private room","False","True",4,"False",1,0,9,84,1,0.962654885151677,0.356133898715912,791.873745658699,26.9883344316406,1885.53462726186,41.5064202249059,2.17742,41.3805,"Barcelona","Weekday"
150.580678194894,"Private room","False","True",2,"False",1,0,9,91,1,1.81959992616685,0.285601281967211,361.199209562082,12.3102516247675,806.236687179304,17.747750826192,2.157,41.374,"Barcelona","Weekday"
